squawk,function
1109,ORIGIN Germany
1110,ORIGIN Germany
1111,ORIGIN Germany
1112,ORIGIN Germany
1113,ORIGIN Germany
1114,ORIGIN Germany
1115,ORIGIN Germany
1116,ORIGIN Germany
1117,ORIGIN Germany
1118,ORIGIN Germany
1119,ORIGIN Germany
1120,ORIGIN Germany
1121,ORIGIN Germany
1122,ORIGIN Germany
1123,ORIGIN Germany
1124,ORIGIN Germany
1125,ORIGIN Germany
1126,ORIGIN Germany
1127,ORIGIN Germany
1128,ORIGIN Germany
1129,ORIGIN Germany
1130,ORIGIN Germany
1131,ORIGIN Germany
1132,ORIGIN Germany
1133,ORIGIN Germany
1134,ORIGIN Germany
1135,ORIGIN Germany
1136,ORIGIN Germany
1137,ORIGIN Germany
1177,ATC Swanwick
1200,RAF Air Command HQ
1201,ATC Channel Islands
1202,ATC Channel Islands
1203,ATC Channel Islands
1204,ATC Channel Islands
1205,ATC Channel Islands
1206,ATC Channel Islands
1207,ATC Channel Islands
1208,ATC Channel Islands
1209,ATC Channel Islands
1210,ATC Channel Islands
1211,ATC Channel Islands
1212,ATC Channel Islands
1213,ATC Channel Islands
1214,ATC Channel Islands
1215,ATC Channel Islands
1216,ATC Channel Islands
1217,ATC Channel Islands
1218,ATC Channel Islands
1219,ATC Channel Islands
1220,ATC Channel Islands
1221,ATC Channel Islands
1222,ATC Channel Islands
1223,ATC Channel Islands
1224,ATC Channel Islands
1225,ATC Channel Islands
1226,ATC Channel Islands
1227,ATC Channel Islands
1228,ATC Channel Islands
1229,ATC Channel Islands
1230,ATC Channel Islands
1231,ATC Channel Islands
1232,ATC Channel Islands
1233,ATC Channel Islands
1234,ATC Channel Islands
1235,ATC Channel Islands
1236,ATC Channel Islands
1237,ATC Channel Islands
1238,ATC Channel Islands
1239,ATC Channel Islands
1240,ATC Channel Islands
1241,ATC Channel Islands
1242,ATC Channel Islands
1243,ATC Channel Islands
1244,ATC Channel Islands
1245,ATC Channel Islands
1246,ATC Channel Islands
1247,ATC Channel Islands
1260,RNAS Queen Elizabeth
1261,RNAS Queen Elizabeth
1262,RNAS Queen Elizabeth
1263,RNAS Queen Elizabeth
1264,RNAS Queen Elizabeth
1265,RNAS Queen Elizabeth
1266,RNAS Queen Elizabeth
1267,RNAS Queen Elizabeth
1268,RNAS Queen Elizabeth
1269,RNAS Queen Elizabeth
1270,RNAS Queen Elizabeth
1271,RNAS Queen Elizabeth
1272,RNAS Queen Elizabeth
1273,RNAS Queen Elizabeth
1274,RNAS Queen Elizabeth
1275,RNAS Queen Elizabeth
1276,RNAS Queen Elizabeth
1277,RNAS Queen Elizabeth
1300,RAF Air Command HQ
1301,CAA
1302,CAA
1303,CAA
1304,CAA
1305,CAA
1306,CAA
1307,NATO
1308,NATO
1309,NATO
1310,NATO
1311,NATO
1312,NATO
1313,NATO
1314,NATO
1315,NATO
1316,NATO
1317,NATO
1318,NATO
1319,NATO
1320,NATO
1321,NATO
1322,NATO
1323,NATO
1324,NATO
1325,NATO
1326,NATO
1327,NATO
1330,ORIGIN Germany
1331,ORIGIN Germany
1332,ORIGIN Germany
1333,ORIGIN Germany
1334,ORIGIN Germany
1335,ORIGIN Germany
1336,ORIGIN Germany
1337,ORIGIN Germany
1338,ORIGIN Germany
1339,ORIGIN Germany
1340,ORIGIN Germany
1341,ORIGIN Germany
1342,ORIGIN Germany
1343,ORIGIN Germany
1344,ORIGIN Germany
1345,ORIGIN Germany
1346,ORIGIN Germany
1347,ORIGIN Germany
1348,ORIGIN Germany
1349,ORIGIN Germany
1350,ORIGIN Germany
1351,ORIGIN Germany
1352,ORIGIN Germany
1353,ORIGIN Germany
1354,ORIGIN Germany
1355,ORIGIN Germany
1356,ORIGIN Germany
1357,ORIGIN Germany
1358,ORIGIN Germany
1359,ORIGIN Germany
1360,ORIGIN Germany
1361,ORIGIN Germany
1362,ORIGIN Germany
1363,ORIGIN Germany
1364,ORIGIN Germany
1365,ORIGIN Germany
1366,ORIGIN Germany
1367,ORIGIN Germany
1368,ORIGIN Germany
1369,ORIGIN Germany
1370,ORIGIN Germany
1371,ORIGIN Germany
1372,ORIGIN Germany
1373,ORIGIN Germany
1374,ORIGIN Germany
1375,ORIGIN Germany
1376,ORIGIN Germany
1377,ORIGIN Germany
1400,RAF Air Command HQ
1401,ATC Ireland
1402,ATC Ireland
1403,ATC Ireland
1404,ATC Ireland
1405,ATC Ireland
1406,ATC Ireland
1407,ATC Ireland
1500,RAF Air Command HQ
1501,RAF Battlespace Management HQ
1502,RAF Battlespace Management HQ
1503,RAF Battlespace Management HQ
1504,RAF Battlespace Management HQ
1505,RAF Battlespace Management HQ
1506,RAF Battlespace Management HQ
1507,RAF Battlespace Management HQ
1508,RAF Battlespace Management HQ
1509,RAF Battlespace Management HQ
1510,RAF Battlespace Management HQ
1511,RAF Battlespace Management HQ
1512,RAF Battlespace Management HQ
1513,RAF Battlespace Management HQ
1514,RAF Battlespace Management HQ
1515,RAF Battlespace Management HQ
1516,RAF Battlespace Management HQ
1517,RAF Battlespace Management HQ
1518,RAF Battlespace Management HQ
1519,RAF Battlespace Management HQ
1520,RAF Battlespace Management HQ
1521,RAF Battlespace Management HQ
1522,RAF Battlespace Management HQ
1523,RAF Battlespace Management HQ
1524,RAF Battlespace Management HQ
1525,RAF Battlespace Management HQ
1526,RAF Battlespace Management HQ
1527,RAF Battlespace Management HQ
1528,RAF Battlespace Management HQ
1529,RAF Battlespace Management HQ
1530,RAF Battlespace Management HQ
1531,RAF Battlespace Management HQ
1532,RAF Battlespace Management HQ
1533,RAF Battlespace Management HQ
1534,RAF Battlespace Management HQ
1535,RAF Battlespace Management HQ
1536,RAF Battlespace Management HQ
1537,RAF Battlespace Management HQ
1538,RAF Battlespace Management HQ
1539,RAF Battlespace Management HQ
1540,RAF Battlespace Management HQ
1541,RAF Battlespace Management HQ
1542,RAF Battlespace Management HQ
1543,RAF Battlespace Management HQ
1544,RAF Battlespace Management HQ
1545,RAF Battlespace Management HQ
1546,RAF Battlespace Management HQ
1547,RAF Battlespace Management HQ
1548,RAF Battlespace Management HQ
1549,RAF Battlespace Management HQ
1550,RAF Battlespace Management HQ
1551,RAF Battlespace Management HQ
1552,RAF Battlespace Management HQ
1553,RAF Battlespace Management HQ
1554,RAF Battlespace Management HQ
1555,RAF Battlespace Management HQ
1556,RAF Battlespace Management HQ
1557,RAF Battlespace Management HQ
1558,RAF Battlespace Management HQ
1559,RAF Battlespace Management HQ
1560,RAF Battlespace Management HQ
1561,RAF Battlespace Management HQ
1562,RAF Battlespace Management HQ
1563,RAF Battlespace Management HQ
1564,RAF Battlespace Management HQ
1565,RAF Battlespace Management HQ
1566,RAF Battlespace Management HQ
1567,RAF Battlespace Management HQ
1568,RAF Battlespace Management HQ
1569,RAF Battlespace Management HQ
1570,RAF Battlespace Management HQ
1571,RAF Battlespace Management HQ
1572,RAF Battlespace Management HQ
1573,RAF Battlespace Management HQ
1574,RAF Battlespace Management HQ
1575,RAF Battlespace Management HQ
1576,RAF Battlespace Management HQ
1577,RAF Battlespace Management HQ
1600,RAF Air Command HQ
1601,RAF Battlespace Management HQ
1602,RAF Battlespace Management HQ
1603,RAF Battlespace Management HQ
1604,RAF Battlespace Management HQ
1605,RAF Battlespace Management HQ
1606,RAF Battlespace Management HQ
1607,RAF Battlespace Management HQ
1608,RAF Battlespace Management HQ
1609,RAF Battlespace Management HQ
1610,RAF Battlespace Management HQ
1611,RAF Battlespace Management HQ
1612,RAF Battlespace Management HQ
1613,RAF Battlespace Management HQ
1614,RAF Battlespace Management HQ
1615,RAF Battlespace Management HQ
1616,RAF Battlespace Management HQ
1617,RAF Battlespace Management HQ
1618,RAF Battlespace Management HQ
1619,RAF Battlespace Management HQ
1620,RAF Battlespace Management HQ
1621,RAF Battlespace Management HQ
1622,RAF Battlespace Management HQ
1623,RAF Battlespace Management HQ
